schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.47788,0.6036457874380972,142.70871524631715,305.35268716708106,3.3377412255127025e-05,1.0,0.26,0.49000000000000005,0.13,0.8805370926856995,0.23000001907348633,0.14516231797945997,0.03575352827707926,0.32264584004879,0.005364507669582963
linear_vp,20260526,0.34622,0.4643303506970192,132.5146177782592,291.82337039634626,2.4440428607893934e-05,0.98,0.41,0.506,0.13,0.8963898420333862,0.20999997854232788,0.16862562842046222,0.0351671427488327,0.3811326533555984,0.003085711505264044
uniform,20260526,0.181705,0.2953950883018055,153.68790183302957,385.7207012480765,4.281039609157203e-05,0.99,0.3,0.37200000000000005,0.09,0.8391484022140503,0.019999980926513672,0.10666198027320206,0.045069108406702675,0.22523679286241532,0.004638118436560035
hang_laplace_b0.5,20260526,0.91598,0.8731591437032034,142.34108691501945,311.5773187263258,2.8874787831933844e-05,0.99,0.13,0.48600000000000004,0.12,0.8468997478485107,0.19999998807907104,0.3153278746952613,0.031658451383312546,0.6831415742635727,0.06831281771883368
dmsr_normal_s0.3,20260526,1.0,0.9610027820828245,138.91498981244928,291.21911300332425,4.8647007378972674e-05,1.0,0.16,0.5519999999999999,0.12,0.8841539621353149,0.24000000953674316,0.43576248952498037,0.04372517764568329,0.9370273888111115,0.10320934932678938
dmsr_normal_s0.8,20260526,0.97712,0.8955306889045608,132.13796366026435,282.9310828872219,4.53851298462435e-05,1.0,0.6,0.554,0.13,0.890073299407959,0.25,0.38432701809021336,0.03394280777623256,0.8474716126918793,0.0681844325736165
dmsr_normal_s1.5,20260526,0.77273,0.7936807610862688,102.06370660198041,239.2886528068774,3.2267469412067045e-05,0.98,0.78,0.6080000000000001,0.14,0.9204210638999939,0.1899999976158142,0.2891991132637486,0.03192449392129978,0.6543342873454094,0.025736110168509185
dmsr_normal_s2.5,20260526,0.53246,0.648404458630129,121.40742978427943,249.78249428045103,3.782808836191963e-05,0.99,0.68,0.5700000000000001,0.16,0.9094489812850952,0.25,0.19628057978115976,0.03301279836644729,0.44675607681274415,0.005637044552713633
dmsr_normal_s4.0,20260526,0.35029,0.48791656996303906,125.64346822306553,315.64727659727146,3.7102598147483155e-05,1.0,0.67,0.484,0.13,0.8723206520080566,0.12999999523162842,0.12813685663665333,0.037360395615299545,0.28179831653833387,0.004142377525568008
dmsr_normal_s6.0,20260526,0.237845,0.35867926430930447,134.12034900213894,352.88213616363834,2.8138554776881346e-05,0.99,0.63,0.43200000000000005,0.11,0.863467812538147,0.050000011920928955,0.10938087846928586,0.04221598617732525,0.23373184949159623,0.004315833910368383
dmsr_laplace_b0.5,20260526,0.973485,0.9176507658506338,130.94894484842933,277.6493787099511,4.101814988932659e-05,1.0,0.54,0.5820000000000001,0.13,0.8990920186042786,0.2200000286102295,0.35294360760599375,0.03521828260272741,0.7839230835437775,0.05251325643621385
dmsr_cosmix_w0.5,20260526,0.70507,0.7368741805260377,127.79754617729205,296.9533830704507,4.3974292598694124e-05,1.0,0.52,0.508,0.13,0.886271059513092,0.1499999761581421,0.16444395133294165,0.03355593979358673,0.3701584443449974,0.005466843722388148
dmsr_cosmix_w0.8,20260526,0.8412,0.8160873386578226,125.99035774140958,282.2084400427616,3.768622645496898e-05,1.0,0.65,0.5519999999999999,0.13,0.8720264434814453,0.1499999761581421,0.20073377007308105,0.03283858112990856,0.457139165699482,0.006148417247459292
